geoid10,Yes
17031271500,4
17031271800,4
17031280100,4
17031280400,3
17031280800,3
17031280900,4
17031281900,0
17031282700,3
17031282800,4
17031283100,4
17031283200,4
17031283800,3
17031290900,3
17031291200,4
17031291600,2
17031292200,3
17031292400,4
17031292500,4
17031300500,4
17031300600,4
17031300700,4
17031300800,4
17031300900,4
17031301100,4
17031301200,3
17031301600,4
17031301701,4
17031301702,4
17031301801,3
17031301802,4
17031301803,4
17031310200,3
17031310300,3
17031310400,4
17031310500,4
17031310600,4
17031310700,0
17031310800,4
17031310900,3
17031320100,4
17031320400,0
17031320600,4
17031330100,3
17031330200,3
17031340300,4
17031340400,4
17031340500,4
17031340600,2
17031351000,4
17031351100,4
17031351400,4
17031360200,4
17031380100,4
17031380200,4
17031380500,4
17031380700,4
17031381200,2
17031381400,4
17031381500,4
17031381700,3
17031381800,4
17031390100,4
17031390200,4
17031390300,4
17031390400,4
17031390500,4
17031390600,4
17031390700,3
17031400300,4
17031400400,4
17031400500,4
17031400800,4
17031410100,1
17031410200,4
17031410500,4
17031410600,4
17031410700,4
17031410800,4
17031410900,4
17031411000,4
17031411100,4
17031411200,3
17031420100,4
17031420200,4
17031420300,4
17031420400,4
17031420500,4
17031420600,2
17031420700,4
17031420800,3
17031421200,4
17031430101,4
17031430102,4
17031430200,4
17031430300,4
17031430400,3
17031430500,3
17031430600,4
17031430700,4
17031430800,4
17031430900,4
17031431200,4
17031431301,4
17031431302,4
17031431400,3
17031440101,4
17031440102,3
17031440201,4
17031440202,4
17031440300,4
17031440600,4
17031440700,4
17031440800,4
17031440900,4
17031450300,3
17031460100,3
17031460200,4
17031460301,4
17031460302,3
17031460400,4
17031460500,4
17031460600,4
17031460700,3
17031461000,3
17031470100,4
17031480100,4
17031480200,4
17031480300,3
17031480400,3
17031480500,4
17031490300,4
17031490400,4
17031490500,3
17031490600,3
17031490700,4
17031490800,3
17031490901,4
17031490902,4
17031491000,4
17031491100,4
17031491200,4
17031491300,4
17031491400,4
17031500100,4
17031500200,2
17031500300,3
17031510100,3
17031510200,2
17031510300,2
17031520100,3
17031520200,3
17031520300,4
17031520400,3
17031520500,4
17031520600,4
17031530100,3
17031530200,3
17031530300,4
17031530400,2
17031530501,4
17031530502,3
17031530503,3
17031530600,4
17031540101,3
17031540102,4
17031550100,3
17031550200,1
17031560100,2
17031560200,3
17031560300,4
17031560400,4
17031560700,3
17031560800,4
17031560900,4
17031561000,4
17031561100,4
17031570100,1
17031570200,3
17031570300,4
17031570400,4
17031570500,3
17031580100,2
17031580200,3
17031580300,2
17031580400,2
17031580501,4
17031580502,4
17031580600,3
17031580700,4
17031580800,4
17031590500,4
17031590600,4
17031590700,3
17031600400,3
17031600600,4
17031600700,4
17031600900,4
17031610300,1
17031610400,4
17031610800,4
17031611000,3
17031611100,4
17031611200,4
17031611300,4
17031611400,4
17031611500,4
17031611600,4
17031611700,4
17031611800,4
17031611900,3
17031612000,4
17031612100,4
17031620100,3
17031620200,3
17031620300,4
17031620400,3
17031630100,3
17031630200,3
17031630300,4
17031630400,4
17031630500,4
17031630800,4
17031630900,3
17031640100,3
17031640300,4
17031640400,3
17031640500,3
17031640600,4
17031640700,4
17031640800,4
17031650100,4
17031650200,4
17031650301,4
17031650302,3
17031650400,3
17031650500,3
17031660301,3
17031660302,4
17031660400,4
17031660500,4
17031660600,4
17031660700,4
17031660800,4
17031660900,4
17031661000,4
17031661100,3
17031670100,4
17031670200,4
17031670300,4
17031670400,4
17031670500,3
17031670600,4
17031670700,3
17031670800,4
17031670900,3
17031671100,4
17031671200,4
17031671300,4
17031671400,4
17031671500,4
17031671600,4
17031671800,4
17031671900,4
17031672000,4
17031680500,4
17031680600,4
17031680900,4
17031681000,4
17031681100,4
17031681200,4
17031681300,3
17031681400,4
17031690300,4
17031690400,4
17031690500,4
17031690900,4
17031691000,4
17031691100,4
17031691200,4
17031691300,4
17031691400,3
17031691500,3
17031700100,2
17031700200,4
17031700301,4
17031700302,4
17031700401,3
17031700402,3
17031700501,4
17031700502,4
17031710100,4
17031710200,4
17031710300,4
17031710400,4
17031710500,4
17031710600,4
17031710700,4
17031710800,4
17031710900,4
17031711000,4
17031711100,4
17031711200,4
17031711300,4
17031711400,2
17031711500,4
17031720100,4
17031720200,4
17031720300,4
17031720400,4
17031720500,4
17031720600,3
17031720700,4
17031730100,4
17031730201,4
17031730202,4
17031730300,4
17031730400,4
17031730500,4
17031730600,3
17031730700,3
17031740100,4
17031740200,4
17031740300,4
17031740400,3
17031750100,4
17031750200,4
17031750300,4
17031750400,4
17031750500,2
17031750600,4
17031760801,2
17031760802,4
17031760803,4
17031770902,4
17031810400,3
17031830500,3
17031830600,4
17031830700,3
17031830800,4
17031830900,2
17031831000,4
17031831100,2
17031831200,4
17031831300,3
17031831400,2
17031831500,4
17031831600,4
17031831700,3
17031831800,4
17031831900,4
17031832000,4
17031832100,4
17031832200,4
17031832300,3
17031832400,4
17031832500,2
17031832600,4
17031832900,3
17031833000,3
17031833100,2
17031833300,3
17031833900,3
17031834000,2
17031834200,2
17031834300,3
17031834400,4
17031834500,4
17031834600,3
17031834700,4
17031834800,4
17031834900,4
17031835000,3
17031835100,4
17031835200,3
17031835500,3
17031835600,2
17031835700,4
17031835800,4
17031835900,4
17031836000,4
17031836100,4
17031836200,4
17031836300,4
17031836400,4
17031836500,3
17031836600,4
17031836700,3
17031836800,4
17031836900,4
17031837000,3
17031837100,3
17031837300,4
17031837400,4
17031837800,2
17031838000,4
17031838100,3
17031838200,3
17031838300,4
17031838600,4
17031838700,3
17031838800,3
17031839000,4
17031839100,3
17031839200,4
17031839500,4
17031839600,4
17031839700,4
17031839800,3
17031839900,3
17031840000,4
17031840100,3
17031840200,1
17031840300,3
17031840400,2
17031840700,4
17031840800,4
17031841000,3
17031841100,2
17031841200,2
17031841300,3
17031841400,4
17031841500,4
17031841600,4
17031841700,4
17031841800,4
17031841900,2
17031842000,4
17031842100,3
17031842200,2
17031842300,3
17031842500,2
17031842600,1
17031842800,2
17031842900,1
17031843000,2
17031843100,4
17031843200,2
17031843300,3
17031843400,3
17031843500,2
17031843600,3
17031843700,3
17031843800,3
17031843900,4
