geoid10,sidewalks,tree-lined streets,porches,fenced front yards,attached garages,cul-de-sacs,hills,private front entrances
17031063200,4,2,0,0,0,0,0,0
17031063301,3,4,2,2,0,0,0,4
17031063302,3,4,0,3,0,0,0,0
17031063400,3,4,3,4,0,0,0,2
17031070101,0,4,2,3,0,0,0,2
17031070102,2,4,2,4,3,0,0,1
17031070103,0,4,4,4,0,0,0,1
17031070200,2,4,3,4,1,0,0,2
17031070300,2,4,3,4,2,0,0,3
17031070400,2,4,1,2,4,1,0,1
17031070500,2,4,2,4,1,1,0,3
17031070600,2,4,1,3,1,1,0,3
17031070700,2,4,1,3,1,0,0,2
17031071000,1,3,3,2,0,0,0,2
17031071100,1,4,3,3,1,0,1,4
17031071200,1,4,4,4,0,0,0,4
17031071300,0,4,4,4,1,0,0,3
17031071400,0,4,0,0,0,0,0,1
17031071500,3,4,2,3,0,0,0,2
17031071600,4,4,2,4,2,0,0,3
17031071700,4,4,1,1,1,0,0,3
17031071800,0,4,1,4,1,0,0,3
17031080100,3,4,4,4,0,0,0,3
17031080201,4,4,1,4,3,0,0,1
17031080202,4,4,2,1,2,0,0,2
17031080300,3,4,2,3,2,0,0,2
17031080400,3,4,4,4,1,0,0,3
17031081000,1,4,3,3,0,0,0,3
17031081100,4,3,3,3,4,0,0,1
17031081201,3,3,1,4,0,0,0,1
17031081202,2,4,3,3,0,0,0,1
17031081300,0,4,4,4,0,0,0,4
17031081401,1,4,4,4,1,0,0,4
17031081402,0,4,0,0,4,0,0,0
17031081403,1,4,4,3,3,0,0,2
17031081500,2,2,4,4,0,0,0,2
17031081600,4,4,1,2,0,0,0,0
17031081700,2,3,1,3,0,0,0,1
17031081800,2,3,1,2,2,0,0,4
17031081900,1,4,4,4,0,0,0,4
17031090100,4,4,3,4,2,2,0,3
17031090200,0,4,2,2,1,0,0,3
17031090300,2,4,2,4,0,0,0,3
17031100100,2,4,2,3,3,0,0,3
17031100200,2,4,1,4,1,0,0,3
17031100300,3,4,2,3,4,0,0,1
17031100400,2,3,2,1,1,1,0,2
17031100500,3,3,3,4,2,3,0,2
17031100600,2,4,3,4,0,0,0,2
17031100700,3,4,4,4,2,1,0,2
17031110100,4,4,2,3,1,0,0,1
17031110200,3,4,4,4,2,0,0,3
17031110300,3,4,2,1,0,1,0,3
17031110400,3,4,4,4,2,1,0,2
17031110501,2,4,2,2,1,0,0,2
17031110502,3,4,1,1,2,0,0,1
17031120100,3,3,2,3,1,0,0,3
17031120200,2,4,3,3,3,1,0,1
17031120300,1,4,1,2,4,0,0,1
17031120400,4,4,2,4,3,1,0,2
17031130100,4,4,2,4,0,0,0,1
17031130200,3,4,2,4,2,1,0,1
17031130300,3,4,2,2,0,0,0,3
17031140100,1,4,0,0,4,0,0,0
17031140200,2,4,4,3,4,0,0,2
17031140301,2,4,3,3,0,0,0,4
17031140302,3,4,3,3,2,0,0,3
17031140400,3,4,3,3,0,0,0,3
17031140500,2,4,2,4,2,0,0,1
17031140601,3,4,4,4,1,0,0,2
17031140602,1,4,2,3,0,0,0,2
17031140701,2,4,3,2,3,0,0,1
17031140702,0,4,2,4,0,0,0,3
17031140800,3,4,2,3,2,1,0,4
17031150200,2,4,3,3,1,0,0,2
17031150300,2,4,3,3,1,0,0,3
17031150401,2,4,3,3,2,0,0,1
17031150402,3,4,2,3,1,0,0,3
17031150501,3,4,2,2,1,0,0,3
17031150502,2,4,3,3,3,0,0,2
17031150600,2,4,2,3,2,0,0,0
17031150700,3,4,1,4,1,0,0,2
17031150800,3,4,3,2,2,0,0,2
17031151001,4,4,3,4,3,0,0,3
17031151002,4,4,1,2,0,0,0,3
17031151100,3,4,2,2,2,0,0,0
17031151200,3,4,4,4,1,0,0,4
17031160100,1,4,1,3,2,0,0,3
17031160200,0,4,3,3,3,0,0,2
17031160300,2,4,2,2,4,1,0,2
17031160400,2,4,3,3,1,0,0,4
17031160501,1,4,2,4,2,0,0,2
17031160502,1,4,3,3,1,0,0,4
17031160601,3,4,2,1,3,1,0,2
17031160602,0,4,4,4,1,0,0,4
17031160700,2,4,4,3,3,0,0,3
17031160800,3,4,2,1,2,2,0,2
17031160900,2,4,4,4,1,0,0,2
17031161000,3,4,3,4,2,0,0,2
17031161100,2,4,4,4,1,0,0,3
17031161200,2,4,2,2,2,0,0,2
17031161300,2,4,2,4,2,0,0,2
17031170100,3,4,2,3,0,0,0,3
17031170200,2,4,3,4,2,0,0,2
17031170300,3,4,3,2,1,0,0,1
17031170400,3,4,1,2,2,0,0,3
17031170500,2,3,3,3,2,1,0,3
17031170600,3,4,2,4,2,0,0,2
17031170700,2,4,3,4,2,0,0,3
17031170800,4,4,1,1,1,1,0,1
17031170900,4,4,3,3,1,1,0,2
17031171000,3,4,3,3,2,0,0,0
17031171100,3,4,3,4,2,0,0,2
17031180100,3,4,2,4,1,0,0,2
17031190100,4,4,3,3,1,0,0,3
17031190200,3,4,4,2,0,0,0,1
17031190300,2,4,4,3,1,0,0,3
17031190401,2,4,4,4,3,0,0,3
17031190402,3,4,3,4,2,0,0,1
17031190601,3,4,3,4,1,0,0,3
17031190602,1,4,3,4,2,0,0,3
17031190701,4,4,2,4,1,0,0,1
17031190702,4,4,1,2,2,0,0,2
17031190800,4,4,2,2,0,1,0,4
17031190900,4,4,3,2,1,1,0,3
17031191000,3,4,2,2,2,0,0,3
17031191100,1,4,2,2,2,0,0,2
17031191200,2,4,2,3,2,1,0,2
17031191301,4,4,3,4,2,0,0,3
17031191302,3,4,3,2,3,1,0,1
17031200100,3,4,3,3,2,1,0,3
17031200200,3,3,3,4,1,0,0,3
17031200300,4,4,1,3,1,0,0,3
17031200401,3,4,3,2,3,0,0,2
17031200402,4,4,3,4,2,0,0,3
17031210100,2,4,4,3,1,0,0,3
17031210400,3,3,4,4,1,0,0,3
17031210501,0,4,3,3,1,0,0,4
17031210502,2,4,2,3,1,0,0,2
17031210601,3,4,3,3,3,1,0,1
17031210602,2,4,1,4,2,0,0,2
17031210700,2,4,2,3,1,1,0,3
17031210800,1,4,4,4,4,0,0,0
17031210900,4,4,2,2,2,0,0,2
17031220300,3,4,3,4,2,0,0,3
17031220400,4,4,0,2,1,0,0,0
17031220500,1,4,4,1,3,0,0,2
17031220601,4,4,4,4,0,0,0,4
17031220602,1,4,2,4,0,0,0,4
17031220701,4,4,1,3,3,0,0,1
17031220702,2,4,2,2,0,0,0,2
17031220901,1,3,2,3,3,0,0,1
17031220902,3,4,2,3,1,0,0,1
17031221000,3,4,2,3,0,0,0,2
17031221100,2,4,1,2,0,0,0,2
17031221200,4,4,1,3,2,0,0,3
17031221300,2,4,2,3,0,0,0,3
17031221400,3,4,3,3,0,0,0,1
17031221500,3,4,1,2,0,0,0,2
17031221600,2,4,3,4,3,0,0,3
17031222200,3,3,2,2,1,0,0,4
17031222500,3,4,0,2,0,0,0,1
17031222600,1,4,3,4,1,0,0,4
17031222700,2,4,2,3,2,0,0,2
17031222800,1,4,1,2,4,0,0,1
17031222900,4,4,4,4,2,0,0,3
17031230100,3,4,3,3,0,0,0,2
17031230200,3,4,3,4,3,1,0,4
17031230300,2,4,3,4,1,0,0,2
17031230400,2,4,4,4,2,0,0,3
17031230500,3,3,1,2,2,0,0,2
17031230600,3,4,3,3,2,0,0,4
17031230700,2,4,2,2,4,0,0,2
17031230800,3,4,3,3,3,0,0,3
17031230900,3,3,2,4,1,0,0,1
17031231100,3,3,3,4,3,0,0,2
17031231200,3,4,2,2,2,0,0,2
17031231500,2,4,2,4,1,0,0,3
17031240200,3,4,3,4,2,0,0,1
17031240300,0,4,4,4,1,0,0,3
17031240500,1,4,3,4,1,0,0,3
17031240600,3,4,3,3,1,1,0,3
17031240700,2,4,3,3,2,1,0,2
17031240800,2,4,3,3,1,0,0,2
17031240900,3,3,1,2,1,0,0,3
17031241000,3,4,3,3,2,0,0,2
17031241100,4,4,2,3,2,0,0,2
17031241200,2,3,1,4,0,0,0,3
17031241300,3,4,3,3,2,1,0,2
17031241400,2,4,1,4,1,0,0,1
17031241500,1,3,3,2,4,1,0,2
17031241600,4,4,2,4,1,0,0,1
17031242000,3,4,4,3,1,0,0,3
17031242100,3,4,2,3,1,0,0,2
17031242200,0,4,3,4,1,0,0,3
17031242300,3,4,3,3,4,0,0,2
17031242400,4,4,2,2,0,0,0,3
17031242500,3,4,3,3,1,0,0,2
17031242600,2,4,3,3,1,0,0,3
17031242700,4,4,4,4,2,0,0,2
17031242800,3,4,2,2,1,0,0,1
17031242900,4,3,2,3,0,0,0,1
17031243000,4,4,2,3,2,0,0,2
17031243100,2,3,1,3,0,0,0,2
17031243200,3,3,2,4,2,0,0,3
17031243300,3,4,3,4,1,0,0,2
17031243400,3,3,3,4,3,0,0,3
17031243500,3,4,2,4,1,1,0,2
17031250200,3,4,3,3,2,0,0,1
17031250300,3,4,4,4,3,1,0,3
17031250400,3,3,1,3,2,0,0,3
17031250500,2,4,3,2,0,0,0,3
17031250600,3,4,3,2,1,1,0,3
17031250700,4,4,1,1,1,0,0,2
17031250800,3,3,1,4,3,0,0,3
17031251000,3,4,3,3,3,1,0,3
17031251100,4,4,3,2,2,1,0,1
17031251200,3,4,3,2,1,0,0,3
17031251300,3,4,3,4,0,0,0,2
17031251400,3,4,2,3,2,0,0,0
17031251500,4,4,3,4,3,0,0,1
17031251600,3,4,3,4,2,1,0,3
17031251700,2,4,1,2,1,0,0,0
17031251800,3,4,4,3,3,0,0,3
17031251900,1,4,3,3,3,0,0,4
17031252000,3,4,2,3,2,0,0,2
17031252101,4,3,0,4,3,0,0,1
17031252102,2,4,3,2,1,1,0,2
17031252201,3,4,3,4,4,0,0,2
17031252202,3,4,3,4,2,0,0,2
17031260100,2,3,3,4,0,0,0,3
17031260200,2,4,2,4,2,0,0,1
17031260300,3,2,2,4,2,0,0,2
17031260400,4,4,3,2,3,0,0,1
17031260500,4,4,3,3,4,0,0,2
17031260600,3,4,3,4,1,0,0,3
17031260700,2,4,3,4,1,0,0,2
17031260800,3,4,3,4,1,0,0,1
17031260900,3,4,4,1,3,0,0,0
17031261000,3,4,3,4,1,0,0,3
17031270500,4,4,4,4,0,0,0,1
17031271200,4,4,1,2,0,0,0,0
17031271300,3,4,2,2,2,0,0,1
17031271400,4,4,3,4,1,0,0,2
17031271500,3,4,4,4,1,0,0,4
17031271800,3,4,0,2,2,0,0,3
17031280100,4,4,2,2,0,0,0,3
17031280400,3,4,3,3,0,0,0,3
17031280800,3,4,2,4,2,1,0,4
17031280900,4,4,4,1,3,0,0,1
17031281900,3,4,0,4,0,0,0,0
17031282700,1,4,3,3,3,0,0,0
17031282800,1,4,3,2,3,0,0,0
17031283100,2,4,4,4,2,3,0,4
17031283200,2,4,3,4,0,0,0,3
17031283800,1,4,3,4,1,0,0,3
17031290900,2,3,3,3,3,1,0,2
17031291200,1,4,3,4,0,0,0,2
17031291600,3,3,2,3,0,0,0,3
17031292200,3,4,3,3,3,1,0,1
17031292400,3,4,3,4,2,0,0,1
17031292500,4,4,3,3,0,0,0,2
17031300500,2,4,4,4,2,0,0,3
17031300600,0,4,3,4,0,0,0,4
17031300700,1,4,3,4,2,0,0,1
17031300800,4,4,2,3,1,0,0,2
17031300900,2,4,2,4,3,0,0,2
17031301100,1,4,3,4,0,0,0,3
17031301200,2,4,4,4,1,0,0,3
17031301600,2,4,4,4,2,0,0,2
17031301701,2,4,3,4,1,0,0,2
17031301702,0,4,1,1,1,0,0,1
17031301801,2,4,2,3,2,0,0,1
17031301802,2,4,1,2,1,0,0,1
17031301803,1,4,3,3,1,0,0,4
17031310200,3,4,2,3,3,0,0,1
17031310300,2,2,2,3,1,0,0,2
17031310400,3,4,3,4,1,1,0,3
17031310500,4,4,3,4,0,0,0,3
17031310600,4,4,4,4,1,0,0,3
17031310700,4,4,3,2,2,0,0,1
17031310800,3,4,3,3,1,0,0,3
17031310900,3,3,2,3,2,1,0,2
17031320100,3,4,3,4,2,1,0,3
17031320400,1,3,0,1,3,0,0,0
17031320600,3,2,0,2,0,0,0,3
17031330100,2,4,3,3,2,0,0,2
17031330200,3,4,4,3,1,0,0,4
17031340300,3,4,2,4,3,0,0,1
17031340400,4,4,1,4,0,0,0,3
17031340500,2,4,4,4,2,0,0,1
17031340600,1,4,2,2,0,0,0,2
17031351000,1,2,3,0,0,0,0,2
17031351100,3,4,2,3,1,0,0,4
17031351400,4,4,4,3,2,0,0,3
17031360200,3,4,3,4,1,1,0,2
17031380100,1,4,3,4,0,0,0,3
17031380200,2,4,4,4,1,2,0,4
17031380500,4,2,4,4,0,0,0,4
17031380700,4,4,4,2,1,0,0,3
17031381200,4,4,1,2,1,1,0,3
17031381400,4,4,2,4,0,0,0,1
17031381500,1,4,1,4,4,1,0,2
17031381700,2,1,1,0,4,0,0,2
17031381800,1,4,1,3,1,0,0,3
17031390100,4,4,3,3,0,0,0,2
17031390200,2,4,2,4,4,0,0,1
17031390300,4,4,2,4,1,0,0,2
17031390400,2,4,2,4,2,0,0,2
17031390500,2,4,3,2,0,0,0,1
17031390600,4,4,1,3,3,0,0,2
17031390700,4,4,4,3,1,0,0,3
17031400300,4,3,3,4,3,0,0,3
17031400400,2,4,1,1,1,0,0,2
17031400500,4,4,1,4,3,0,0,0
17031400800,2,4,3,4,1,0,0,1
17031410100,4,1,2,2,0,0,0,1
17031410200,3,4,3,3,0,0,0,3
17031410500,2,4,3,4,1,0,0,4
17031410600,3,4,3,4,1,0,0,3
17031410700,3,4,3,3,2,0,0,1
17031410800,3,4,2,4,1,0,0,2
17031410900,4,4,2,3,0,0,0,2
17031411000,3,3,2,3,0,0,0,3
17031411100,3,4,2,2,3,0,0,3
17031411200,3,4,1,2,0,0,0,1
17031420100,3,4,2,3,0,0,0,2
17031420200,3,4,4,3,2,0,0,3
17031420300,3,4,1,0,2,0,0,1
17031420400,1,3,4,3,0,0,0,4
17031420500,4,4,2,1,2,0,0,4
17031420600,2,4,0,0,3,0,0,0
17031420700,3,4,4,4,1,0,0,3
17031420800,3,4,2,3,2,0,0,2
17031421200,2,4,1,3,1,0,0,1
17031430101,4,4,2,4,2,0,0,2
17031430102,1,2,3,4,1,1,0,4
17031430200,2,4,1,1,3,0,0,2
17031430300,4,4,2,4,1,0,0,2
17031430400,2,4,3,3,2,0,0,3
17031430500,2,4,1,3,2,0,0,1
17031430600,4,4,1,3,2,0,0,3
17031430700,1,3,3,4,0,0,0,4
17031430800,1,4,2,3,2,0,0,2
17031430900,3,4,3,3,1,0,0,4
17031431200,2,4,2,4,2,0,0,1
17031431301,4,4,3,4,1,0,0,2
17031431302,4,4,4,3,3,0,0,2
17031431400,2,2,1,2,1,0,0,2
17031440101,3,4,2,4,2,0,0,3
17031440102,4,3,3,4,1,0,0,4
17031440201,3,4,3,4,2,0,0,4
17031440202,1,4,3,4,1,1,0,4
17031440300,3,4,4,2,2,0,0,4
17031440600,2,3,2,3,1,3,0,3
17031440700,4,4,2,3,2,0,0,2
17031440800,4,4,2,4,3,0,0,1
17031440900,4,4,3,3,2,1,0,1
17031450300,2,4,1,3,1,0,0,4
17031460100,3,4,3,3,2,1,0,2
17031460200,3,4,3,3,3,0,0,0
17031460301,3,4,2,3,1,0,0,2
17031460302,3,4,3,2,1,1,0,3
17031460400,2,4,3,4,2,0,0,3
17031460500,4,4,4,4,3,1,0,3
17031460600,3,4,4,4,1,0,0,4
17031460700,3,4,3,2,2,1,0,3
17031461000,3,2,3,3,0,0,0,3
17031470100,3,3,3,3,1,0,0,2
17031480100,4,4,4,3,2,0,0,3
17031480200,2,4,4,4,1,0,0,4
17031480300,3,4,3,4,1,0,0,3
17031480400,4,4,3,4,3,0,0,3
17031480500,3,3,2,4,4,2,0,2
17031490300,1,4,2,4,0,1,0,3
17031490400,3,4,3,1,0,1,0,4
17031490500,2,4,1,2,1,1,0,1
17031490600,3,4,2,4,2,0,0,4
17031490700,3,3,2,4,3,0,0,2
17031490800,3,4,3,3,1,1,0,3
17031490901,2,4,2,2,1,1,0,3
17031490902,2,4,2,4,3,1,0,3
17031491000,3,4,3,4,2,0,0,3
17031491100,3,4,3,3,1,0,0,3
17031491200,3,4,2,3,1,0,0,2
17031491300,3,4,3,3,2,0,0,2
17031491400,4,4,2,3,0,0,0,2
17031500100,4,2,2,2,1,1,0,2
17031500200,1,3,2,3,1,0,0,3
17031500300,3,4,2,3,2,1,0,3
17031510100,2,2,3,3,0,0,0,2
17031510200,2,4,1,2,2,1,0,1
17031510300,1,3,2,3,1,1,0,1
17031520100,3,4,1,2,0,0,0,1
17031520200,1,3,3,4,0,0,0,2
17031520300,4,4,1,4,1,0,0,2
17031520400,1,4,2,4,0,1,0,4
17031520500,4,4,1,3,2,0,0,1
17031520600,2,4,2,2,0,0,0,2
17031530100,2,3,1,2,1,0,0,1
17031530200,4,4,1,4,2,1,0,2
17031530300,3,4,3,3,2,0,0,4
17031530400,4,3,1,2,1,0,0,2
17031530501,3,4,0,3,2,0,0,3
17031530502,2,3,0,2,3,0,0,2
17031530503,3,4,3,4,1,1,0,2
17031530600,4,4,3,4,2,0,0,2
17031540101,3,1,1,2,2,1,0,1
17031540102,1,3,2,3,2,0,0,1
17031550100,3,3,1,1,0,0,0,1
17031550200,2,2,1,1,2,1,0,1
17031560100,3,4,3,3,1,0,0,2
17031560200,3,4,2,2,1,0,0,3
17031560300,4,4,2,3,3,0,0,2
17031560400,4,4,3,4,2,2,0,4
17031560700,3,4,2,4,1,2,0,3
17031560800,2,4,2,3,1,0,0,1
17031560900,3,4,1,3,0,0,0,1
17031561000,2,4,1,2,3,1,0,1
17031561100,4,4,2,4,3,0,0,2
17031570100,2,4,2,2,2,0,0,3
17031570200,3,1,3,1,1,0,0,2
17031570300,2,4,1,2,2,1,0,2
17031570400,4,4,1,4,3,0,0,1
17031570500,4,3,3,3,2,0,0,3
17031580100,4,4,1,4,1,0,0,1
17031580200,1,3,2,3,3,0,0,2
17031580300,3,4,1,3,3,0,0,2
17031580400,2,4,3,3,3,1,0,4
17031580501,2,4,2,3,1,0,0,2
17031580502,4,4,3,4,1,0,0,3
17031580600,2,4,3,3,2,0,0,2
17031580700,4,4,2,3,0,0,0,2
17031580800,3,4,2,4,2,0,0,3
17031590500,3,3,3,3,2,0,0,1
17031590600,2,4,2,3,2,0,0,2
17031590700,3,3,3,3,1,0,0,4
17031600400,3,4,4,4,2,0,0,3
17031600600,4,4,2,4,4,0,0,0
17031600700,3,4,2,2,2,0,0,1
17031600900,2,4,3,3,3,0,0,2
17031610300,0,2,3,0,2,0,0,1
17031610400,4,4,3,4,1,0,0,3
17031610800,3,4,2,3,2,0,0,3
17031611000,3,4,2,3,1,0,0,2
17031611100,1,4,1,4,0,0,0,1
17031611200,4,4,3,4,1,0,0,4
17031611300,3,4,1,4,1,0,0,3
17031611400,3,4,2,4,0,2,0,3
17031611500,3,4,2,3,1,0,0,3
17031611600,2,4,4,4,3,0,0,2
17031611700,2,4,2,4,1,0,0,2
17031611800,4,4,3,4,2,2,0,4
17031611900,1,4,2,4,0,0,0,4
17031612000,1,4,3,3,2,0,0,3
17031612100,2,4,3,3,0,0,0,3
17031620100,2,4,3,3,0,0,0,4
17031620200,3,4,3,3,1,0,0,3
17031620300,4,4,3,4,0,1,0,3
17031620400,4,4,1,2,0,1,0,2
17031630100,3,4,4,4,3,0,0,4
17031630200,1,3,3,3,1,0,0,4
17031630300,4,4,3,4,2,0,0,3
17031630400,2,4,4,3,0,0,0,4
17031630500,2,4,3,2,2,1,0,2
17031630800,3,4,3,3,2,0,0,3
17031630900,4,4,3,3,1,0,0,4
17031640100,2,3,3,3,2,0,0,3
17031640300,4,4,3,3,1,0,0,2
17031640400,1,3,3,4,4,0,0,3
17031640500,4,4,4,4,1,0,0,4
17031640600,3,4,4,3,1,0,0,2
17031640700,4,3,2,3,1,2,0,2
17031640800,4,4,4,4,0,1,0,4
17031650100,2,4,3,3,2,0,0,1
17031650200,2,4,4,2,2,0,0,2
17031650301,2,4,3,3,2,1,0,3
17031650302,2,4,2,4,2,0,0,3
17031650400,2,4,3,4,2,0,0,4
17031650500,1,2,2,2,1,0,0,0
17031660301,4,4,3,4,1,0,0,2
17031660302,3,4,3,2,1,0,0,2
17031660400,3,4,1,3,1,0,0,2
17031660500,3,4,3,4,1,0,0,2
17031660600,3,4,3,4,1,0,0,3
17031660700,2,4,3,3,2,0,0,3
17031660800,3,4,4,4,3,0,0,2
17031660900,3,4,2,4,1,0,0,0
17031661000,4,4,3,4,1,0,0,3
17031661100,3,3,2,3,2,1,0,3
17031670100,2,4,2,0,4,1,0,2
17031670200,2,4,1,1,2,0,0,1
17031670300,2,4,2,3,0,0,0,3
17031670400,3,4,1,3,1,1,0,3
17031670500,4,3,3,4,1,0,0,2
17031670600,3,4,2,2,1,0,0,3
17031670700,2,4,1,3,1,0,0,3
17031670800,1,4,1,4,1,0,0,3
17031670900,2,4,1,3,1,0,0,2
17031671100,1,4,3,3,2,1,0,2
17031671200,4,4,3,4,1,0,0,3
17031671300,2,4,3,3,1,1,0,4
17031671400,4,4,2,4,1,1,0,2
17031671500,4,4,3,3,2,0,0,2
17031671600,2,4,2,4,2,0,0,1
17031671800,3,4,3,4,3,0,0,2
17031671900,3,4,3,4,2,0,0,2
17031672000,4,4,3,4,2,0,0,2
17031680500,3,4,2,3,4,0,0,0
17031680600,3,4,3,3,0,0,0,3
17031680900,4,4,4,4,2,1,1,4
17031681000,1,4,1,4,1,0,0,1
17031681100,4,4,3,3,1,2,0,3
17031681200,4,4,3,3,1,0,0,4
17031681300,3,4,3,4,1,0,0,2
17031681400,2,4,1,1,2,1,0,2
17031690300,4,3,3,3,1,0,0,2
17031690400,2,4,3,3,1,0,0,1
17031690500,2,4,2,4,2,0,0,2
17031690900,1,4,3,3,0,0,0,4
17031691000,2,4,4,3,3,1,0,4
17031691100,1,4,1,4,1,0,0,3
17031691200,2,4,3,4,2,0,0,3
17031691300,4,4,3,2,1,0,0,2
17031691400,4,4,2,4,2,1,0,1
17031691500,2,4,2,2,3,2,0,3
17031700100,1,3,3,3,2,0,0,3
17031700200,3,3,3,2,1,1,0,4
17031700301,1,2,2,3,0,4,0,2
17031700302,3,4,3,3,1,2,0,3
17031700401,4,4,3,3,1,1,0,3
17031700402,2,3,3,3,1,0,0,1
17031700501,4,4,4,3,3,0,0,1
17031700502,3,3,3,3,4,1,1,2
17031710100,2,4,3,2,3,1,0,1
17031710200,3,4,3,4,1,0,0,2
17031710300,3,4,3,4,2,0,0,1
17031710400,4,4,3,3,2,2,0,3
17031710500,3,4,2,4,2,2,0,1
17031710600,4,4,2,3,2,0,0,1
17031710700,2,4,2,2,2,0,0,1
17031710800,4,4,3,4,3,0,0,3
17031710900,3,4,3,3,0,0,0,1
17031711000,4,4,3,3,2,0,0,3
17031711100,4,4,4,3,2,0,0,2
17031711200,4,4,4,3,2,2,0,4
17031711300,1,4,2,2,3,0,0,2
17031711400,4,4,4,4,2,1,0,3
17031711500,2,4,4,4,2,0,0,3
17031720100,4,4,3,4,2,0,0,1
17031720200,2,4,2,3,1,0,0,3
17031720300,3,4,3,4,1,0,0,4
17031720400,2,4,2,3,2,1,0,2
17031720500,3,4,1,1,2,1,0,2
17031720600,3,4,2,4,1,0,0,2
17031720700,2,4,2,3,3,1,0,1
17031730100,3,4,2,4,2,0,0,3
17031730201,2,4,2,3,1,0,0,2
17031730202,2,4,1,2,2,0,0,2
17031730300,3,4,4,3,1,0,0,2
17031730400,4,3,2,3,2,1,0,2
17031730500,2,4,2,4,1,0,0,3
17031730600,3,4,3,3,2,0,0,1
17031730700,2,4,1,2,1,1,0,2
